,l,hex,y,rgb,r,g,b,hsv,hue,sat,val
37,0.645490196,#C39E86,4,"(195, 158, 134)",0.7647058823529411,0.6196078431372549,0.5254901960784314,"(0.0655737704918033, 0.31282051282051276, 0.7647058823529411)",0.0655737704918033,0.31282051282051276,0.7647058823529411
38,0.63627451,#C79A7D,3,"(199, 154, 125)",0.7803921568627451,0.6039215686274509,0.49019607843137253,"(0.0653153153153153, 0.3718592964824121, 0.7803921568627451)",0.0653153153153153,0.3718592964824121,0.7803921568627451
39,0.696968695,#D4AD8D,4,"(212, 173, 141)",0.8313725490196079,0.6784313725490196,0.5529411764705883,"(0.07511737089201877, 0.33490566037735847, 0.8313725490196079)",0.07511737089201877,0.33490566037735847,0.8313725490196079
40,0.647303922,#D29277,3,"(210, 146, 119)",0.8235294117647058,0.5725490196078431,0.4666666666666667,"(0.04945054945054944, 0.4333333333333333, 0.8235294117647058)",0.04945054945054944,0.4333333333333333,0.8235294117647058
41,0.713554987,#D2A999,4,"(210, 169, 153)",0.8235294117647058,0.6627450980392157,0.6,"(0.04678362573099415, 0.2714285714285714, 0.8235294117647058)",0.04678362573099415,0.2714285714285714,0.8235294117647058
42,0.68177624,#D99C82,1,"(217, 156, 130)",0.8509803921568627,0.611764705882353,0.5098039215686274,"(0.04980842911877398, 0.40092165898617516, 0.8509803921568627)",0.04980842911877398,0.40092165898617516,0.8509803921568627
43,0.773625529,#E6BAA4,3,"(230, 186, 164)",0.9019607843137255,0.7294117647058823,0.6431372549019608,"(0.055555555555555504, 0.2869565217391304, 0.9019607843137255)",0.055555555555555504,0.2869565217391304,0.9019607843137255
44,0.795588235,#E1C5B4,3,"(225, 197, 180)",0.8823529411764706,0.7725490196078432,0.7058823529411765,"(0.06296296296296298, 0.19999999999999993, 0.8823529411764706)",0.06296296296296298,0.19999999999999993,0.8823529411764706
45,0.659912854,#D6967A,1,"(214, 150, 122)",0.8392156862745098,0.5882352941176471,0.47843137254901963,"(0.050724637681159424, 0.42990654205607476, 0.8392156862745098)",0.050724637681159424,0.42990654205607476,0.8392156862745098
46,0.710726644,#DCB08D,4,"(220, 176, 141)",0.8627450980392157,0.6901960784313725,0.5529411764705883,"(0.07383966244725736, 0.35909090909090907, 0.8627450980392157)",0.07383966244725736,0.35909090909090907,0.8627450980392157
47,0.570895887,#C97E59,1,"(201, 126, 89)",0.788235294117647,0.49411764705882355,0.34901960784313724,"(0.055059523809523815, 0.5572139303482587, 0.788235294117647)",0.055059523809523815,0.5572139303482587,0.788235294117647
48,0.670072372,#D29F82,1,"(210, 159, 130)",0.8235294117647058,0.6235294117647059,0.5098039215686274,"(0.060416666666666695, 0.380952380952381, 0.8235294117647058)",0.060416666666666695,0.380952380952381,0.8235294117647058
49,0.651740196,#C99F82,1,"(201, 159, 130)",0.788235294117647,0.6235294117647059,0.5098039215686274,"(0.06807511737089204, 0.35323383084577115, 0.788235294117647)",0.06807511737089204,0.35323383084577115,0.788235294117647
50,0.687701681,#D5A888,4,"(213, 168, 136)",0.8352941176470589,0.6588235294117647,0.5333333333333333,"(0.06926406926406925, 0.36150234741784043, 0.8352941176470589)",0.06926406926406925,0.36150234741784043,0.8352941176470589
51,0.54246732,#B07E63,1,"(176, 126, 99)",0.6901960784313725,0.49411764705882355,0.38823529411764707,"(0.05844155844155846, 0.4375, 0.6901960784313725)",0.05844155844155846,0.4375,0.6901960784313725
52,0.630952381,#C3967E,4,"(195, 150, 126)",0.7647058823529411,0.5882352941176471,0.49411764705882355,"(0.05797101449275364, 0.35384615384615375, 0.7647058823529411)",0.05797101449275364,0.35384615384615375,0.7647058823529411
53,0.659869281,#CDA182,3,"(205, 161, 130)",0.803921568627451,0.6313725490196078,0.5098039215686274,"(0.06888888888888889, 0.3658536585365854, 0.803921568627451)",0.06888888888888889,0.3658536585365854,0.803921568627451
54,0.464542484,#AE5E3E,2,"(174, 94, 62)",0.6823529411764706,0.3686274509803922,0.24313725490196078,"(0.047619047619047616, 0.6436781609195402, 0.6823529411764706)",0.047619047619047616,0.6436781609195402,0.6823529411764706
55,0.589623397,#C08E6B,1,"(192, 142, 107)",0.7529411764705882,0.5568627450980392,0.4196078431372549,"(0.06862745098039218, 0.4427083333333333, 0.7529411764705882)",0.06862745098039218,0.4427083333333333,0.7529411764705882
56,0.761029412,#E2BFA0,2,"(226, 191, 160)",0.8862745098039215,0.7490196078431373,0.6274509803921569,"(0.0782828282828283, 0.29203539823008845, 0.8862745098039215)",0.0782828282828283,0.29203539823008845,0.8862745098039215
57,0.493382353,#A67955,2,"(166, 121, 85)",0.6509803921568628,0.4745098039215686,0.3333333333333333,"(0.07407407407407407, 0.4879518072289157, 0.6509803921568628)",0.07407407407407407,0.4879518072289157,0.6509803921568628
58,0.69251068,#D5A58B,4,"(213, 165, 139)",0.8352941176470589,0.6470588235294118,0.5450980392156862,"(0.05855855855855859, 0.34741784037558693, 0.8352941176470589)",0.05855855855855859,0.34741784037558693,0.8352941176470589
59,0.656279178,#CAA083,4,"(202, 160, 131)",0.792156862745098,0.6274509803921569,0.5137254901960784,"(0.06807511737089204, 0.3514851485148515, 0.792156862745098)",0.06807511737089204,0.3514851485148515,0.792156862745098
60,0.68627451,#D1A48C,4,"(209, 164, 140)",0.8196078431372549,0.6431372549019608,0.5490196078431373,"(0.05797101449275364, 0.3301435406698564, 0.8196078431372549)",0.05797101449275364,0.3301435406698564,0.8196078431372549
